Tiempo(s),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ
0.0005562305450439453,-0.727874,-9.155894,2.906709,-0.061228,0.063505,0.019628,-1.245048,-8.878152,3.61064,-0.042911,0.031424,-0.022114
0.001641988754272461,-0.718297,-9.179837,2.748684,-0.053106,0.056448,0.021625,-1.087023,-8.935616,3.323321,-0.039449,0.001463,-0.020383
0.002521514892578125,-0.842802,-9.136739,2.76305,-0.02421,0.055915,0.030547,-1.383919,-8.858997,3.476558,-0.007224,0.035419,-0.008798
0.002521514892578125,-0.684777,-9.184626,2.638545,-0.017019,0.03674,0.02056,-1.355187,-8.700973,3.648949,0.014614,0.033555,0.007448
0.003530263900756836,-0.785338,-9.194203,2.44221,-0.05204,0.053119,0.038537,-1.158853,-8.949982,3.103044,-0.03825,0.005591,-9e-06
0.003530263900756836,-1.000827,-9.088853,2.346437,-0.018218,0.065236,0.049855,-1.436594,-8.854209,2.97375,-0.003762,0.041811,0.012108
0.004984140396118164,-1.015193,-9.208569,2.250664,0.012809,0.043398,0.018829,-1.546733,-8.940405,2.877977,0.021938,0.031691,-0.015855
0.004984140396118164,-0.972095,-9.194203,2.226721,0.077258,0.048725,0.006045,-1.312089,-8.978714,2.882766,0.073072,-0.000401,-0.02997
0.005988121032714844,-1.249837,-9.117584,2.260242,0.095501,0.091336,0.008842,-1.69997,-8.844632,2.954596,0.10756,0.077498,-0.028239
0.006989240646362305,-1.144487,-9.328285,2.269819,0.124264,0.066435,-0.036433,-1.685604,-9.09843,2.69122,0.124738,0.033022,-0.064459
0.007987737655639648,-0.430978,-9.002657,3.136564,0.176729,0.010774,-0.071986,-0.775761,-8.696184,3.797397,0.184926,-0.061788,-0.097483
0.007987737655639648,-0.60337,-9.012235,3.280223,0.159418,0.041933,-0.031373,-1.16843,-8.710549,3.912325,0.16402,0.01984,-0.059798
0.00948953628540039,-0.60337,-9.20378,3.39994,0.169005,0.025288,-0.058271,-1.115755,-8.878152,4.012887,0.165884,-0.013184,-0.080837
0.00948953628540039,-0.397458,-9.108007,3.821341,0.208288,-0.042357,-0.081441,-0.962518,-8.782379,4.573158,0.198242,-0.065782,-0.099879
0.010493040084838867,-0.124505,-9.108007,3.955423,0.176329,-0.069255,-0.062399,-0.502808,-8.734493,4.755127,0.174806,-0.12677,-0.083501
0.011493921279907227,-0.172391,-9.069698,4.065562,0.097099,-0.030905,0.001385,-0.641679,-8.811111,4.630622,0.026998,-0.035688,-0.002806
0.012139558792114258,-0.512385,-9.136739,3.854861,-0.031134,0.046727,0.060774,-1.101389,-8.796745,4.606679,-0.021738,0.029028,0.021962
0.012139558792114258,-0.579426,-9.227723,3.586697,-0.07774,0.050456,0.051986,-1.000827,-8.902096,4.31936,-0.070874,0.006923,0.009445
0.013143301010131836,-0.828436,-9.198992,3.50529,-0.102774,0.044463,0.065035,-1.427017,-8.863787,4.281051,-0.09471,0.033289,0.024226
0.01414632797241211,-0.723086,-9.189414,3.356842,-0.123547,0.019296,0.039868,-1.211528,-8.868575,4.03683,-0.118279,-0.015981,0.00079
0.015146255493164062,-0.656045,-9.198992,3.112621,-0.129273,0.019429,0.028283,-1.235471,-8.897306,3.816552,-0.115749,-0.017712,-0.009597
0.015649795532226562,-0.622524,-9.036178,2.954596,-0.110764,0.046061,0.016032,-0.943364,-8.662663,3.366419,-0.098439,0.019973,-0.026641
0.015649795532226562,-0.63689,-8.945193,2.499674,-0.121417,0.085077,0.044662,-1.0966,-8.686606,3.103044,-0.105629,0.054062,-0.003471
0.016653060913085938,-0.871534,-8.854209,2.288974,-0.078672,0.106649,0.062505,-1.259414,-8.60041,2.916286,-0.064083,0.059921,0.013972
0.01778101921081543,-0.8859,-8.873363,2.485308,-0.012092,0.050589,0.052651,-1.364764,-8.629143,3.007271,-0.006958,0.014646,0.015837
0.01778101921081543,-0.670411,-9.069698,2.734318,0.043569,-0.013461,0.027884,-1.144487,-8.768013,3.299378,0.03339,-0.041281,-0.003072
0.018991947174072266,-0.737452,-9.09843,2.968961,0.084449,0.021693,0.039069,-1.125332,-8.8159,3.615429,0.080529,-0.010787,0.003453
0.019995927810668945,-0.699143,-9.227723,3.136564,0.082718,-0.007203,0.044529,-1.197162,-8.830266,4.127814,0.07973,-0.045143,0.008513
0.019995927810668945,-0.560272,-9.060121,3.57712,0.048229,-0.027443,0.024422,-1.072657,-8.739282,4.338514,0.05363,-0.066182,-0.003605
0.020995140075683594,-0.450133,-9.021811,3.658527,0.015738,-0.031038,0.022291,-0.976884,-8.700973,4.295417,0.022071,-0.075769,-0.006135
0.021593570709228516,-0.56506,-9.074487,3.356842,-0.003037,-0.003874,0.039069,-1.029559,-8.74407,3.835706,0.011152,-0.061388,0.007714
0.022220373153686523,-0.24901,-8.99308,3.567542,0.009213,-0.063529,0.042132,-0.579426,-8.681818,4.209221,0.00769,-0.094146,0.015437
0.022220373153686523,-0.344783,-9.045755,3.510078,-0.016487,-0.018921,0.076354,-0.761395,-8.739282,4.338514,-0.014015,-0.032759,0.040871
0.022220373153686523,-0.809281,-9.122374,3.194028,-0.044983,0.06284,0.115903,-1.27378,-8.811111,3.821341,-0.011219,-0.007858,0.054453
0.022220373153686523,-0.38788,-9.09843,3.265857,-0.015821,-0.027976,0.065435,-0.914632,-8.777591,3.974577,-0.012417,-0.05766,0.035411
0.02513861656188965,-0.320839,-9.021811,3.299378,-0.033265,0.008777,0.079949,-0.70872,-8.710549,4.113448,-0.026399,-0.036754,0.042202
0.02513861656188965,-0.517174,-9.036178,3.227548,-0.065356,0.048591,0.115769,-0.900266,-8.720127,3.888382,-0.060621,0.008121,0.072563
0.026641130447387695,-0.718297,-9.093641,3.356842,-0.058965,0.045396,0.136676,-1.130121,-8.758436,3.974577,-0.064216,0.026498,0.093869
0.027643918991088867,-0.981673,-9.165471,3.443038,-0.069085,0.051388,0.136676,-1.52279,-8.897306,4.156546,-0.082459,0.01438,0.070566
0.02854609489440918,-1.010405,-9.251667,3.457403,-0.077474,0.030748,0.106581,-1.359976,-8.868575,4.348092,-0.086321,-0.003996,0.055518
0.029091835021972656,-1.192373,-9.237301,3.29459,-0.139793,0.079351,0.102986,-1.661661,-8.897306,4.060773,-0.128,0.053263,0.057649
0.029091835021972656,-1.441383,-9.122374,3.0791,-0.145252,0.083346,0.090336,-2.001655,-8.8159,3.816552,-0.135457,0.064182,0.046863
0.03009486198425293,-1.264203,-9.155894,2.949807,-0.138861,0.029949,0.045461,-1.786165,-8.830266,3.591486,-0.134924,-0.004529,0.006249
0.031095027923583984,-1.039137,-9.155894,2.820513,-0.112095,0.023557,0.01044,-1.570676,-8.863787,3.486135,-0.11242,-0.010121,-0.027307
0.03157472610473633,-0.976884,-9.127162,2.676854,-0.085064,0.044863,-0.00807,-1.398285,-8.825478,3.337687,-0.04837,0.013315,-0.056602
0.03157472610473633,-0.857168,-9.112796,2.662488,-0.048578,0.034343,-0.018855,-1.312089,-8.806323,3.423883,-0.039449,-0.005594,-0.056469
0.03322005271911621,-0.847591,-9.175049,2.662488,-0.038058,0.045662,-0.022184,-1.326455,-8.892518,3.285012,-0.036386,0.003461,-0.058866
0.03322005271911621,-0.895477,-9.175049,2.76305,-0.016753,0.06497,-0.036166,-1.34561,-8.858997,3.476558,-0.011885,0.025299,-0.074579
0.03322005271911621,-0.838013,-9.218146,2.791781,-0.011693,0.041268,-0.040694,-1.206739,-8.940405,3.419094,-0.011219,0.005059,-0.080172
0.03527522087097168,-0.948152,-9.117584,2.834879,0.001756,0.055383,-0.044422,-1.27378,-8.854209,3.466981,0.011019,-0.003197,-0.107736
0.03527522087097168,-0.727874,-9.09843,2.949807,0.031318,0.033678,-0.074916,-1.24026,-8.801534,3.572331,0.035121,-0.004529,-0.105605
0.03668713569641113,-0.469287,-8.997869,3.227548,0.07353,-0.008667,-0.078245,-0.967307,-8.715339,3.897959,0.072539,-0.045542,-0.108268
0.03769111633300781,-0.407035,-8.88773,3.366419,0.077391,-0.037164,-0.06626,-0.909843,-8.614777,4.089505,0.082526,-0.071508,-0.092689
0.03769111633300781,-0.114928,-8.954771,3.43346,0.049694,-0.054075,-0.063597,-0.536328,-8.633931,4.156546,0.054296,-0.094012,-0.089493
0.039153099060058594,-0.124505,-9.017023,3.514867,0.026258,-0.026378,-0.018323,-0.593792,-8.686606,4.223587,0.028197,-0.048072,-0.05354
0.039153099060058594,-0.167603,-9.021811,3.620217,-0.00104,-0.002143,0.014701,-0.694354,-8.700973,4.376824,-0.040647,-0.016247,0.019166
0.04015398025512695,-0.550694,-9.031389,3.32811,-0.073879,0.045129,0.091401,-0.948152,-8.729704,4.003309,-0.067812,0.010385,0.047529
